mac,label,kind,oui,display_name,type_hint,strongest_rssi,seen_records,last_seen_ms,channels,security,image,notes
42:16:33:DA:C9:5D,Apple BLE,ble,42:16:33,Apple BLE,Apple,-82,1,0,,,,
43:D2:C2:9D:DE:36,Apple BLE,ble,43:D2:C2,Apple BLE,Apple,-97,1,0,,,,
45:17:E7:01:9B:D6,Apple BLE,ble,45:17:E7,Apple BLE,Apple,-87,1,0,,,,
45:A8:37:82:F2:79,Apple BLE,ble,45:A8:37,Apple BLE,Apple,-94,1,0,,,,
49:BB:9C:81:29:22,Apple BLE,ble,49:BB:9C,Apple BLE,Apple,-95,1,0,,,,
54:8C:ED:E0:AF:50,Apple BLE,ble,54:8C:ED,Apple BLE,Apple,-87,1,0,,,,
57:11:51:D9:F1:E1,Apple BLE,ble,57:11:51,Apple BLE,Apple,-91,1,0,,,,
5B:88:D0:5C:7C:94,Apple BLE,ble,5B:88:D0,Apple BLE,Apple,-60,1,0,,,,
65:87:C5:2B:B1:BD,Apple BLE,ble,65:87:C5,Apple BLE,Apple,-94,1,0,,,,
73:8E:4F:9E:ED:B1,AirTag,ble,73:8E:4F,AirTag,AirTag,-49,1,0,,,,
75:C2:45:2A:5A:2E,Apple BLE,ble,75:C2:45,Apple BLE,Apple,-92,1,0,,,,
78:C1:35:CE:64:D4,Apple BLE,ble,78:C1:35,Apple BLE,Apple,-91,1,0,,,,
7F:94:20:36:43:A7,Google BLE,ble,7F:94:20,Google BLE,Google,-71,1,0,,,,
80:E1:26:77:DF:01,Agoropis,ble,80:E1:26,Agoropis,Flipper White,-50,1,0,,,,
C3:51:90:54:4A:25,Apple BLE,ble,C3:51:90,Apple BLE,Apple,-86,1,0,,,,
CA:36:34:39:72:79,Govee_H6052_7279,ble,CA:36:34,Govee_H6052_7279,,-93,1,0,,,,
CC:36:34:39:38:6E,Govee_H6052_386E,ble,CC:36:34,Govee_H6052_386E,,-92,1,0,,,,
DD:99:80:C6:1D:5D,Govee_H6098_1D5D,ble,DD:99:80,Govee_H6098_1D5D,,-83,1,0,,,,
EC:27:EF:A2:5C:76,Apple BLE,ble,EC:27:EF,Apple BLE,Apple,-92,1,0,,,,
F4:DD:06:69:EE:4F,Samsung BLE,ble,F4:DD:06,Samsung BLE,Samsung,-88,1,0,,,,
